人民币: 余额:53622.00  可用:6391.00  参考市值:1431688.68  资产:1438179.68  盈亏:54212.66 
-------------------------------------------------------------------------------------------------------

证券代码        证券名称                     证券数量        库存数量        可卖数量        买入均价        参考成本         参考成本价        参考盈亏成本价        当前价         最新市值         参考浮动盈亏        盈亏比例(%)        个股仓位        在途买入        在途卖出        股东代码          
001280          中国铀业                     200             200             200             81.345          16269.00         81.345            81.345                83.760         16752.00         483.00              2.97               1.2%            0               0               0900069159        
002594          比亚迪                       100             100             100             98.380          9838.00          98.380            98.380                101.220        10122.00         284.00              2.89               0.7%            0               0               0900069159        
002916          深南电路                     0               200             0               235.655         47131.00         235.655           235.655               237.510        47502.00         371.00              0.79               3.3%            0               0               0900069159        
159218          卫星ETF招商                  32200           32200           32200           1.906           65729.30         2.041             2.041                 1.728          55641.60         -10087.70           -15.34             3.9%            0               0               0900069159        
159326          电网设备ETF华夏              15300           15300           15300           1.850           28312.30         1.850             1.850                 1.900          29070.00         757.70              2.70               2.0%            0               0               0900069159        
159516          半导体设备ETF国泰            30400           30400           30400           0.805           24475.80         0.805             0.805                 0.867          26356.80         1881.00             7.70               1.8%            0               0               0900069159        
159545          恒生红利低波ETF易方达        8000            8000            8000            1.408           11261.00         1.408             1.408                 1.423          11384.00         123.00              1.07               0.8%            0               0               0900069159        
159995          芯片ETF华夏                  106100          106100          106100          1.626           138970.10        1.310             1.310                 1.744          185038.40        46068.30            33.13              12.9%           0               0               0900069159        
301683          C慧谷新材                    100             100             100             78.380          -14168.30        -141.683          -141.683              115.720        11572.00         25740.30            0.00               0.8%            0               0               0900069159        
510500          中证500ETF南方               5300            5300            5300            7.660           40597.10         7.660             7.660                 8.026          42537.80         1940.70             4.78               3.0%            0               0               A468056267        
512890          红利低波ETF华泰柏瑞          84700           84700           84700           1.151           78153.77         0.923             0.923                 1.190          100793.00        22639.23            28.93              7.0%            0               0               A468056267        
513130          恒生科技ETF华泰柏瑞          452500          452500          452500          0.720           337147.50        0.745             0.745                 0.620          280550.00        -56597.50           -16.78             19.5%           0               0               A468056267        
518880          黄金ETF华安                  4900            4900            4900            8.894           31668.00         6.463             6.463                 10.113         49553.70         17885.70            56.48              3.4%            0               0               A468056267        
562500          机器人ETF华夏                73400           73400           73400           0.955           68507.90         0.933             0.933                 0.967          70977.80         2469.90             3.64               4.9%            0               0               A468056267        
588000          科创50ETF华夏                167800          167800          167800          1.376           226531.30        1.350             1.350                 1.425          239115.00        12583.70            5.56               16.6%           0               0               A468056267        
600600          青岛啤酒                     100             100             100             62.551          6255.06          62.551            62.551                63.450         6345.00          89.94               1.44               0.4%            0               0               A468056267        
601899          紫金矿业                     1500            1500            1500            35.712          53567.53         35.712            35.712                34.620         51930.00         -1637.53            -3.06              3.6%            0               0               A468056267        
688981          中芯国际                     1847            1847            1847            111.743         200701.14        108.663           108.663               101.180        186879.46        -13821.68           -6.89              13.0%           0               0               A468056267        
02331           李宁                         500             500             500             13.057          6528.52          13.057            13.057                19.136         9568.12          3039.60             46.56              0.7%            0               0               A468056267        
