人民币: 余额:727.89  可用:824.84  参考市值:609591.76  资产:1596535.16  盈亏:176670.38 
-------------------------------------------------------------------------------------------------------

证券代码        证券名称                   证券数量        库存数量        可卖数量        买入均价        参考成本         参考成本价        参考盈亏成本价        当前价         最新市值         参考浮动盈亏        盈亏比例(%)        个股仓位        在途买入        在途卖出        股东代码          
000021          深科技                     200             0               0               0.000           -74.38           0.000             0.000                 36.370         0.00             74.38               0.00               0               0               0               0900069159        
000960          锡业股份                   0               400             0               37.563          15025.00         37.563            37.563                36.290         14516.00         -509.00             -3.39              0.9%            0               0               0900069159        
002192          融捷股份                   0               200             0               89.620          17924.00         89.620            89.620                85.790         17158.00         -766.00             -4.27              1.1%            0               0               0900069159        
002851          麦格米特                   100             100             100             105.360         9159.96          91.600            91.600                116.690        11669.00         2509.04             27.39              0.7%            0               0               0900069159        
159218          卫星ETF招商                44800           44800           44800           1.879           88545.30         1.976             1.976                 1.764          79027.20         -9518.10            -10.73             4.9%            0               0               0900069159        
159326          电网设备ETF华夏            15300           15300           15300           1.850           28312.30         1.850             1.850                 2.042          31242.60         2930.30             10.38              2.0%            0               0               0900069159        
159516          半导体设备ETF国泰          10000           7500            7500            0.805           -1004.70         -0.134            -0.134                1.270          9525.00          10529.70            0.00               0.6%            0               0               0900069159        
159995          芯片ETF华夏                17800           13400           13400           1.626           -66362.50        -4.952            -4.952                2.477          33191.80         99554.30            0.00               2.1%            0               0               0900069159        
300394          天孚通信                   0               100             0               358.630         35863.00         358.630           358.630               337.210        33721.00         -2142.00            -5.97              2.1%            0               0               0900069159        
510500          中证500ETF南方             3500            3500            3500            7.660           24593.30         7.027             7.027                 8.503          29760.50         5167.20             21.00              1.9%            0               0               A468056267        
512890          红利低波ETF华泰柏瑞        84700           0               0               0.000           -19920.49        0.000             0.000                 1.161          0.00             19920.49            0.00               0               0               0               A468056267        
513130          恒生科技ETF华泰柏瑞        524200          0               0               0.000           68310.44         0.000             0.000                 0.598          0.00             -68310.44           0.00               0               0               0               A468056267        
518880          黄金ETF华安                4900            4900            4900            8.894           31668.00         6.463             6.463                 9.450          46305.00         14637.00            46.22              2.9%            0               0               A468056267        
562500          机器人ETF华夏              13000           13000           13000           0.955           1841.50          0.142             0.142                 1.187          15431.00         13589.50            735.92             1.0%            0               0               A468056267        
588000          科创50ETF华夏              28100           28100           28100           1.376           -11250.30        -0.400            -0.400                1.860          52266.00         63516.30            0.00               3.3%            0               0               A468056267        
601899          紫金矿业                   2300            0               0               0.000           10822.81         0.000             0.000                 29.990         0.00             -10822.81           0.00               0               0               0               A468056267        
603163          圣晖系统集成集团           100             0               0               0.000           -2020.55         0.000             0.000                 115.390        0.00             2020.55             0.00               0               0               0               A468056267        
605358          立昂微                     500             0               0               0.000           -606.87          0.000             0.000                 51.260         0.00             606.87              0.00               0               0               0               A468056267        
688981          中芯国际                   1447            1447            1447            111.743         150142.94        103.762           103.762               127.220        184087.34        33944.40            22.61              11.5%           0               0               A468056267        
02331           李宁                       500             500             500             13.057          6528.52          13.057            13.057                15.837         7918.41          1389.89             21.29              0.5%            0               0               A468056267        
09988           阿里巴巴－Ｗ               200             400             400             113.560         45424.10         113.560           113.560               109.432        43772.91         -1651.19            -3.64              2.7%            0               0               A468056267        
